Group,Qty,Part,Description,Manufacturer,MPN,LCSC,Stock,EUR ea,EUR total,Source,Note
LCSC,2,100nF,Capacitor 100nF 50V X7R 1206,Samsung,CL31B104KBCNNNC,C24497,hoch,0.023,0.05,https://www.lcsc.com/product-detail/C24497.html,"1206 is a large package for 100 nF, hence 2.3 cents rather than a fraction of that. Nothing cheaper exists here: YAGEO CC1206KRX7R9BB104 (C82601) costs 0.037 EUR. Over a million in stock."
LCSC,1,22uF 3V3 bulk,Capacitor 22uF 6.3V X5R 1206,Samsung,CL31A226MQHNNNE,C159757,23.140,0.129,0.13,https://www.lcsc.com/product-detail/C159757.html,"Half the price of the 25 V part (C12891, 0.24 EUR) for the same job. 6.3 V on a 3.3 V rail is roughly a factor of two margin, normal for X5R. Worth knowing: ceramics lose capacitance under DC bias, a 6.3 V part at 3.3 V keeps about half, so 11 to 13 uF rather than 22. Ample for holding up the rail when three transceivers key at once. For the full 22 uF take C12891 (25 V, keeps about 85 %) and pay 12 cents more."
LCSC,1,1000uF 35V,"Electrolytic 1000uF 35V radial, D13 x L20, 5 mm pitch",Chengx,KM108M035J20RR0VH2FP0,C10749,48.810,0.171,0.17,https://www.lcsc.com/product-detail/C10749.html,
LCSC,1,74AHCT541 pixel buffer,"Octal buffer 74HCT541, PDIP-20, 300 mil",Texas Instruments,SN74HCT541N,,marketplace,1.5,1.5,https://shop.schukat.com/Texas-Instruments/SN74HCT541N/p/37554,"AHCT or HCT, both have TTL input thresholds (VIH 2.0 V) and therefore switch reliably from the 3.3 V of the ESP32. The only difference is propagation delay, roughly 6 against 14 ns, irrelevant at 1250 ns per WS281x bit. LCSC does not stock the AHCT part in DIP, hence the marketplace sources. Which other types work and which do not is below."
LCSC,1,MF-R 30V,"Polyfuse Bourns MF-R500, 30 V, 5 A hold / 10 A trip, 10.2 mm pitch",Bourns,MF-R500,C208489,644,0.419,0.42,https://www.lcsc.com/product-detail/C208489.html,"The largest that fits the current placement: body 17.4 x 3.0 mm, 3.8 mm clear of the 1000uF can. Sits in the left and right hole (10.2 mm pitch). The MF-R900 (9 A, C208493) is the largest of the series but its body is 24.2 mm and would come within 0.40 mm of the can; both parts stand 20 to 25 mm tall. MF-RHT and MF-RG are 16 V parts above 1 A and unusable on 24 V."
LCSC,5,10k ETH_CS pu / 10k ETH_RST pu / 10k dir,Resistor 10k 1206 1%,UNI-ROYAL,1206W4F1002T5E,C17902,204.500,0.018,0.09,https://www.lcsc.com/product-detail/C17902.html,
LCSC,3,120R term,Resistor 120R 1206 1%,UNI-ROYAL,1206W4F1200T5E,,?,0.004,0.01,,"Same series as the verified 10k. The C number could not be confirmed by search, look up the manufacturer part number on LCSC."
LCSC,6,330R bias+ / 330R bias-,Resistor 330R 1206 5% (fail-safe bias),UNI-ROYAL,1206W4J0331T5E,C25374,79.100,0.012,0.07,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Uniroyal-Elec-1206W4J0331T5E_C25374.html,"Fail-safe bias on a 3.3 V bus needs more than 200 mV idle differential. With two terminators (60 R, the normal case once this board is the controller at one end) 330 R gives 275 mV, 470 R only 198 mV. Anything from 270 R to 430 R works, see the table. Bus loading 4.6 mA, which no RS-485 driver cares about, and 5 % tolerance is irrelevant for a bias resistor. The land takes anything from 0402 to 1206: copper runs 0.30 to 2.30 mm off centre, so every end cap lands on it, an 0402's at 0.25 to 0.50 as much as a 1206's at 1.10 to 1.60. The 390R that only exists in 0805 therefore goes in without any trickery."
LCSC,1,12-24V IN 24A,"Screw terminal, 2 pole, 5.08 mm pitch, 24 A",Cixi Kefa,KF128-5.08-2P-AA,C474952,63.515,0.177,0.18,https://www.lcsc.com/product-detail/C474952.html,
LCSC,5,PIXn V+/DATA/GND,"Screw terminal, 3 pole, 5.08 mm pitch",Cixi Kefa,KF128-5.08-3P-AA,C474953,16.545,0.175,0.88,https://lcsc.com/product-detail/Screw-terminal_Cixi-Kefa-Elec-KF128-5-08-3P-AA_C474953.html,
