Designator,Mid X,Mid Y,Layer,Rotation
C1,15.1690mm,9.0828mm,Top,0
C10,4.7389mm,12.5750mm,Top,0
C11,4.7389mm,11.0750mm,Top,0
C12,43.2389mm,16.0750mm,Top,180
C13,45.7389mm,18.5750mm,Top,0
C14,50.7389mm,24.0750mm,Top,0
C15,4.7389mm,9.0750mm,Top,0
C16,8.7689mm,3.5750mm,Top,0
C17,4.7689mm,3.5750mm,Top,0
C18,8.7389mm,11.0750mm,Top,0
C19,48.7189mm,43.0950mm,Top,90
C2,12.7689mm,3.5750mm,Top,0
C20,52.2189mm,42.6000mm,Top,90
C21,28.7189mm,6.6000mm,Top,90
C22,45.1989mm,13.5750mm,Top,0
C3,4.7389mm,18.5750mm,Top,0
C4,42.2389mm,11.0750mm,Top,0
C5,27.7389mm,14.5750mm,Top,0
C6,34.7389mm,23.5750mm,Top,0
C8,4.7389mm,16.5750mm,Top,0
C9,4.7189mm,14.5750mm,Top,0
D1,51.7689mm,38.0125mm,Top,270
D2,2.6810mm,48.5550mm,Top,270
D3,5.1905mm,48.5625mm,Top,270
D4,7.7000mm,48.5700mm,Top,270
D5,10.2094mm,48.5775mm,Top,270
D6,12.7189mm,48.5850mm,Top,270
J1,59.7889mm,36.9250mm,Top,90
J2,37.5489mm,4.0450mm,Top,0
J3,62.1789mm,11.7750mm,Top,270
J4,29.2189mm,30.5750mm,Top,180
L1,24.1189mm,22.0750mm,Top,0
PS1,41.6989mm,44.4950mm,Top,0
Q1,9.6564mm,13.6250mm,Top,180
Q2,9.6564mm,17.6250mm,Top,180
R1,15.1590mm,15.0828mm,Top,0
R10,38.2089mm,23.5750mm,Top,0
R11,31.7089mm,23.5750mm,Top,180
R12,51.6314mm,33.0750mm,Top,180
R13,2.7189mm,45.5850mm,Top,90
R14,5.2189mm,45.5850mm,Top,90
R15,7.7189mm,45.5850mm,Top,90
R16,10.2189mm,45.5750mm,Top,90
R17,12.7189mm,45.5850mm,Top,90
R18,47.2089mm,5.0750mm,Top,0
R2,15.1390mm,13.0828mm,Top,180
R3,27.7189mm,17.5850mm,Top,90
R4,45.7089mm,11.0750mm,Top,0
R5,46.2089mm,8.0750mm,Top,0
R6,15.1390mm,20.5828mm,Top,0
R7,15.1390mm,17.0828mm,Top,0
R8,28.7089mm,2.5750mm,Top,0
R9,42.7089mm,9.0750mm,Top,0
SW1,16.7189mm,48.0750mm,Top,270
SW2,20.7189mm,48.0750mm,Top,270
U1,10.0989mm,32.3250mm,Top,90
U2,35.4689mm,15.8250mm,Top,270
U3,22.3489mm,7.6250mm,Top,270
U4,21.4189mm,16.1250mm,Top,0
U5,42.4689mm,36.1250mm,Top,270
Y1,44.3439mm,22.8750mm,Top,0
