Comment,Designator,Footprint,LCSC Part #,Type
100nF,"C1,C3,C5,C6,C7",C_0805_2012Metric,C49678,SMT/Assembly
10uF,"C2,C4",C_1206_3216Metric,C13585,SMT/Assembly
SM712,D1,SOT-23,C404012,SMT/Assembly
SMAJ5.0A,D2,D_SMB,C87074,SMT/Assembly
SS34,D3,D_SMA,C8678,SMT/Assembly
PTC 1A 1206,F1,Fuse_1206_3216Metric,C70082,SMT/Assembly
XLR-3 female RA (XLR-328P),J1,CONN-TH_XLR-328P,C309326,SMT/Assembly
USB-C 6P power (TYPE-C 6P),J2,TYPE-C-SMD_TYPE-C-6P_1,C456012,SMT/Assembly
1x10 socket 2.54 (C35445),"J3,J4",HDR-TH_10P-P2.54-V-F,C35445,SMT/Assembly
WS2812B,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,SMT/Assembly
120R,R1,R_0805_2012Metric,C17437,SMT/Assembly
10k,R2,R_0805_2012Metric,C17414,SMT/Assembly
330R,R6,R_0805_2012Metric,C17630,SMT/Assembly
5k1,"Rcc1,Rcc2",R_0805_2012Metric,C27834,SMT/Assembly
ADM2587EBRWZ,U2,SOIC-20W_7.5x12.8mm_P1.27mm,C12081,SMT/Assembly
74LVC1G125,U3,SOT-23-5,C23654,SMT/Assembly
