Designator,Mid X,Mid Y,Layer,Rotation
C1,20.2577mm,9.8750mm,Top,90
C2,12.7577mm,10.3500mm,Top,90
C3,56.3077mm,6.8250mm,Top,0
C4,56.2827mm,11.3250mm,Top,180
C5,21.7577mm,21.3750mm,Top,90
C6,5.2577mm,16.8750mm,Top,90
C7,5.2577mm,21.8750mm,Top,90
D1,56.3077mm,16.7625mm,Top,90
D2,36.2577mm,14.9750mm,Top,90
D3,5.7577mm,10.3250mm,Top,90
F1,10.2577mm,21.4250mm,Top,90
J1,68.9877mm,14.3250mm,Top,90
J2,33.9377mm,3.3550mm,Top,0
J3,13.5077mm,26.9050mm,Top,180
J4,13.5077mm,1.4950mm,Top,180
LED1,34.8077mm,24.9750mm,Top,180
R1,54.8452mm,25.8250mm,Top,180
R2,14.8550mm,15.6725mm,Top,90
R6,15.7577mm,21.9125mm,Top,90
Rcc1,10.2577mm,15.9125mm,Top,90
Rcc2,20.3550mm,15.8475mm,Top,90
U2,46.5050mm,13.5450mm,Top,0
U3,28.8077mm,14.1875mm,Top,90
