Comment,Designator,Footprint,LCSC Part #
100nF 0402,"C1,C5,C8,C9,C10,C11,C14,C15,C18,C19,C22,C23,C24",C_0402_1005Metric,C1525
10uF 0805,"C2,C28",C_0805_2012Metric,C15850
1uF 0402 (EN power-on RC),"C3,C4",C_0402_1005Metric,C52923
4.7uF 0402,C6,C_0402_1005Metric,C23733
22pF 0402,"C12,C13",C_0402_1005Metric,C1555
22uF 0805,"C16,C17,C29",C_0805_2012Metric,C45783
10uF 1206,"C20,C21,C25,C26",C_1206_3216Metric,C13585
100uF 25V SMD electrolytic (PoE output bulk),C27,CP_Elec_6.3x7.7,C970685
1uF 0603 (TPS2116 VIN1 input cap),"C30,C31",C_0603_1608Metric,C15849
SM712 TVS SOT-23,"D1,D7",SOT-23,C404012
LED red 0603,D2,LED_0603_1608Metric,C2286
LED green 0603 KT-0603G,D3,LED_0603_1608Metric,C12624
LED yellow 0603 NCD0603Y2,D4,LED_0603_1608Metric,C89811
LED blue 0603 KT-0603B,D5,LED_0603_1608Metric,C2288
LED white 0603,D6,LED_0603_1608Metric,C2290
SMAJ58A TVS SMA (rectified-PoE surge clamp),D10,D_SMA,C110521
SMAJ5.0A TVS SMA (+5V transient clamp),D11,D_SMA,C151932
BSMD1206-150-16V 1.5A/16V resettable PPTC fuse (USB VBUS),F1,Fuse_1206_3216Metric,C883133
600R@100MHz ferrite bead 0805 (+5V to DMX DC-DC),"FB1,FB2,FB3",L_0805_2012Metric,C139168
Neutrik NC5FAH XLR-5 female horizontal PCB (E1.11 DMX out),"J1,J5",CONN-TH_NC5FAH,C368501
USB-C data (TYPE-C-31-M-12),J2,USB-C_SMD-TYPE-C-31-M-12_1,C165948
RJ45 MagJack HY931147C PoE 10/100 (integrated rectifier + magnetics),J3,RJ45-TH_HY931147C,C91754
JST SH 1.0mm 9-pin SMD SM09B-SRSS-TB (optional display; pre-crimped cables),"J4,J6",JST_SH_SM09B-SRSS-TB_1x09-1MP_P1.00mm_Horizontal,C160408
JST SH 1.0mm 3-pin SMD SM03B-SRSS-TB (DMX-A breakout),"J7,J8",JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,C160403
2.2uH power inductor (CKCS4030),L1,IND-SMD_L4.0-W4.0,C354584
ACM2012-201-2P common-mode choke (DMX-A pair),"L2,L3",L_CommonModeChoke_Coilank_ACM2012,C383338
B0505S-1W iso DC-DC (EVISUN),"PS1,PS2",PWRM-TH_B0505S-1W,C7465127
MMBT3904 SOT-23,"Q1,Q2",SOT-23,C20526
10k 0402,"R1,R2,R6,R7,R11",R_0402_1005Metric,C25744
12k 0402 W5500 EXRES1 (12.4k spec OOS at LCSC; 12k within 100BASE-TX +-5%),R3,R_0402_1005Metric,C25752
330R 0402,"R4,R5",R_0402_1005Metric,C25104
5k1 0402,"R8,R9",R_0402_1005Metric,C25905
45.3k 0402 1% (buck FB top -> 3.32V),R10,R_0402_1005Metric,C137977
120R 0805 (DMX-A termination),"R12,R19",R_0805_2012Metric,C17437
1k 0402,"R13,R15",R_0402_1005Metric,C11702
150R 0402,"R14,R16,R17",R_0402_1005Metric,C25082
49.9R 1% 0402 W5500 TX center-tap bias,R18,R_0402_1005Metric,C25120
tact sw B3U-1000P,"SW1,SW2",SW_SPST_B3U-1000P,C231329
ESP32-S3-WROOM-1-N8 (8MB),U1,ESP32-S3-WROOM-1,C2913198
W5500 SPI Ethernet,U2,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C32843
CH340C USB-UART,U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,C84681
SY8089 buck 5->3.3V,U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C78988
ISO3086DWR isolated RS-485,"U5,U6",SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,C183095
DP9900M-5V PoE PD + isolated DC-DC module (802.3af),U7,PWRM-SMD_DP9900M-5V,C5380106
USBLC6-2SC6 USB ESD/TVS array (SOT-23-6),U8,SOT-23-6,C7519
TPS2116DRLR ideal-diode power mux (USB/PoE 5V OR-ing),U9,SOT-583-8,C3235557
25MHz crystal 2520,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2981622
