Designator,Mid X,Mid Y,Layer,Rotation
C1,2.4709mm,20.6511mm,Top,0
C10,26.2532mm,-0.4711mm,Top,0
C11,24.6337mm,-6.5993mm,Top,0
C12,36.6917mm,-16.9242mm,Top,0
C13,27.3515mm,-17.7241mm,Top,0
C14,20.1139mm,-7.9919mm,Top,0
C15,25.6602mm,34.9368mm,Top,90
C16,64.0375mm,-11.8872mm,Top,0
C17,59.7189mm,-11.9750mm,Top,0
C18,52.9722mm,31.0683mm,Top,0
C19,84.0556mm,31.0790mm,Top,0
C2,7.0650mm,19.5266mm,Top,0
C20,84.7695mm,36.0413mm,Top,0
C21,51.3189mm,38.8750mm,Top,0
C22,21.1996mm,-0.4461mm,Top,0
C23,55.7189mm,-9.4450mm,Top,90
C24,84.2031mm,0.1690mm,Top,0
C25,85.2089mm,5.4048mm,Top,0
C26,47.3189mm,34.0750mm,Top,90
C27,44.2189mm,-1.4250mm,Top,270
C28,13.6720mm,6.2447mm,Top,270
C29,13.7189mm,12.1250mm,Top,270
C3,2.2491mm,17.7135mm,Top,0
C30,7.4177mm,3.9670mm,Top,0
C31,10.0189mm,6.5750mm,Top,0
C4,24.6337mm,-10.7507mm,Top,0
C5,24.2104mm,-13.7374mm,Top,0
C6,24.6909mm,-3.6118mm,Top,0
C8,34.6218mm,-1.3550mm,Top,0
C9,30.0735mm,-1.2230mm,Top,0
D1,88.3264mm,32.0357mm,Top,180
D10,27.2189mm,25.0750mm,Top,0
D11,61.2189mm,-7.9250mm,Top,180
D2,24.1810mm,48.5450mm,Top,270
D3,26.6905mm,48.5525mm,Top,270
D4,29.2000mm,48.5600mm,Top,270
D5,31.7094mm,48.5675mm,Top,270
D6,34.2189mm,48.5750mm,Top,270
D7,88.9514mm,1.0857mm,Top,180
F1,40.7189mm,-22.3250mm,Top,90
F2,95.7189mm,36.1050mm,Top,90
F3,95.7189mm,25.6050mm,Top,90
F4,95.7189mm,5.0450mm,Top,90
F5,95.7189mm,-5.9550mm,Top,90
FB1,51.6389mm,35.5750mm,Top,0
FB2,85.2632mm,39.7583mm,Top,0
FB3,85.6258mm,9.1855mm,Top,0
J1,108.7189mm,29.0750mm,Top,270
J2,49.3889mm,-22.2350mm,Top,0
J3,8.9589mm,-6.4250mm,Top,0
J4,47.2189mm,8.0750mm,Top,180
J5,108.8764mm,-1.9250mm,Top,270
J6,47.2189mm,21.5750mm,Top,180
J7,87.0889mm,25.4607mm,Top,0
J8,86.5889mm,-6.0393mm,Top,0
L1,61.6189mm,-21.9250mm,Top,0
L2,89.9389mm,39.6857mm,Top,0
L3,90.3889mm,9.0857mm,Top,0
PS1,74.5789mm,35.5857mm,Top,0
PS2,74.9364mm,5.2557mm,Top,0
Q1,42.6689mm,37.5125mm,Top,270
Q2,42.6689mm,32.0125mm,Top,270
R1,6.5025mm,16.1790mm,Top,0
R10,58.7089mm,-18.4250mm,Top,0
R11,58.7089mm,-15.3033mm,Top,0
R12,89.9764mm,36.0857mm,Top,0
R13,24.2189mm,45.5750mm,Top,90
R14,26.7189mm,45.5750mm,Top,90
R15,29.2189mm,45.5750mm,Top,90
R16,31.7189mm,45.5650mm,Top,90
R17,34.2189mm,45.5750mm,Top,90
R18,20.4231mm,-3.3763mm,Top,0
R19,90.4764mm,5.5857mm,Top,0
R2,18.1501mm,44.5248mm,Top,0
R20,82.3789mm,33.5857mm,Top,0
R21,81.8889mm,39.0757mm,Top,270
R22,82.3789mm,8.0857mm,Top,270
R23,82.3789mm,2.5857mm,Top,180
R3,30.1398mm,1.9487mm,Top,0
R4,9.7089mm,-16.4250mm,Top,0
R5,3.0686mm,4.9674mm,Top,0
R6,37.7885mm,36.4263mm,Top,90
R7,37.9994mm,32.4249mm,Top,90
R8,46.8989mm,-16.1350mm,Top,0
R9,51.7089mm,-14.1050mm,Top,0
SW1,11.2189mm,46.8750mm,Top,270
SW2,15.2189mm,46.8750mm,Top,270
U1,10.4889mm,32.5750mm,Top,90
U2,32.4689mm,-8.6750mm,Top,180
U3,31.7189mm,34.5750mm,Top,270
U4,62.1680mm,-16.5082mm,Top,0
U5,75.3489mm,27.2157mm,Top,270
U6,75.4964mm,-3.6943mm,Top,270
U7,27.2189mm,12.5750mm,Top,0
U8,45.3564mm,-12.2524mm,Top,0
U9,6.7189mm,6.5750mm,Top,0
Y1,31.9605mm,-17.3174mm,Top,0
